analyzed_release,total_bug_fixes,release_1,release_2,release_3,release_4,release_5,release_6,release_7,release_8,release_9,release_10,release_11,release_12,release_13,release_14,release_15,release_16,release_17,release_18,release_19,release_20,release_21,release_22,release_23,release_24,release_25,release_26,release_27,release_28,release_29,release_30,release_31,release_32,release_33,release_34,release_35,release_36,release_37,release_38,release_39,release_40,release_41
1,1964,836,530,262,103,53,12,9,27,12,6,5,16,2,7,15,9,11,5,2,2,6,1,7,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3061,0,1837,663,161,92,34,9,18,18,31,29,24,24,29,14,3,5,10,3,4,14,6,19,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4542,0,1,2661,836,324,79,61,93,30,73,33,52,33,32,22,32,46,41,22,5,14,14,21,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3799,0,0,2,2547,646,127,71,42,40,41,34,45,30,34,28,11,32,20,10,5,8,4,7,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3590,0,1,0,0,2305,484,187,108,61,56,24,58,49,17,27,26,61,28,15,10,9,15,29,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1739,0,0,0,0,2,950,322,109,55,56,36,49,29,12,5,18,26,17,14,0,5,1,10,2,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1624,0,0,0,0,0,0,755,339,96,70,38,85,45,23,49,28,35,13,3,4,13,7,9,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1850,0,0,0,0,0,0,3,960,305,185,89,56,48,55,24,19,28,16,9,8,13,5,11,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1210,0,0,0,0,0,0,0,0,572,261,103,101,21,12,21,27,35,9,5,11,12,7,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1992,0,0,0,1,0,0,0,0,0,1034,351,173,82,28,79,76,51,13,27,6,7,8,14,9,12,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1606,0,0,0,0,0,0,0,0,0,0,838,341,121,44,32,31,52,30,35,6,25,2,17,13,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2511,0,0,0,0,0,0,0,0,0,0,0,1257,491,225,164,54,112,48,26,47,28,8,15,7,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1999,0,0,0,0,0,0,0,2,0,0,1,0,1097,338,169,108,74,40,38,20,32,4,28,4,17,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2398,0,0,0,0,0,0,0,0,0,0,0,3,0,982,564,285,237,79,112,24,34,15,36,6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1593,517,209,165,72,23,67,101,108,19,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1423,733,155,123,101,113,42,115,86,93,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025,650,225,122,131,37,55,53,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1755,835,245,281,109,111,47,61,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1556,600,362,99,123,77,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,924,784,190,145,71,45,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2377,751,443,194,148,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1501,868,164,118,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2421,1044,323,315,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,666,384,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,728,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
